date,symbol,open,high,low,close,adj_close,volume,daily_return
2021-01-01,BTC-USD,28994.0098,29600.627,28803.5859,29374.1523,29374.1523,40730301359,0.0
2021-01-02,BTC-USD,29376.4551,33155.1172,29091.1816,32127.2676,32127.2676,67865420765,0.093726
2021-01-03,BTC-USD,32129.4082,34608.5586,32052.3164,32782.0234,32782.0234,78665235202,0.02038
2021-01-04,BTC-USD,32810.9492,33440.2188,28722.7559,31971.9141,31971.9141,81163475344,-0.024712
2021-01-05,BTC-USD,31977.041,34437.5898,30221.1875,33992.4297,33992.4297,67547324782,0.063197
2021-01-06,BTC-USD,34013.6133,36879.6992,33514.0352,36824.3633,36824.3633,75289433811,0.083311
2021-01-07,BTC-USD,36833.875,40180.3672,36491.1914,39371.043,39371.043,84762141031,0.069157
2021-01-08,BTC-USD,39381.7656,41946.7383,36838.6367,40797.6094,40797.6094,88107519480,0.036234
2021-01-09,BTC-USD,40788.6406,41436.3516,38980.875,40254.5469,40254.5469,61984162837,-0.013311
2021-01-10,BTC-USD,40254.2188,41420.1914,35984.6289,38356.4414,38356.4414,79980747690,-0.047153
2021-01-11,BTC-USD,38346.5312,38346.5312,30549.5996,35566.6562,35566.6562,123320567399,-0.072733
2021-01-12,BTC-USD,35516.3594,36568.5273,32697.9766,33922.9609,33922.9609,74773277909,-0.046215
2021-01-13,BTC-USD,33915.1211,37599.9609,32584.668,37316.3594,37316.3594,69364315979,0.100032
2021-01-14,BTC-USD,37325.1094,39966.4062,36868.5625,39187.3281,39187.3281,63615990033,0.050138
2021-01-15,BTC-USD,39156.707,39577.7109,34659.5898,36825.3672,36825.3672,67760757881,-0.060274
2021-01-16,BTC-USD,36821.6484,37864.3672,35633.5547,36178.1406,36178.1406,57706187875,-0.017576
2021-01-17,BTC-USD,36163.6484,36722.3516,34069.3203,35791.2773,35791.2773,52359854336,-0.010693
2021-01-18,BTC-USD,35792.2383,37299.2852,34883.8438,36630.0742,36630.0742,49511702429,0.023436
2021-01-19,BTC-USD,36642.2344,37755.8906,36069.8047,36069.8047,36069.8047,57244195486,-0.015295
2021-01-20,BTC-USD,36050.1133,36378.3281,33570.4766,35547.75,35547.75,66834573161,-0.014473
2021-01-21,BTC-USD,35549.3984,35552.6797,30250.75,30825.6992,30825.6992,75643067688,-0.132837
2021-01-22,BTC-USD,30817.625,33811.8516,28953.373,33005.7617,33005.7617,77207272511,0.070722
2021-01-23,BTC-USD,32985.7578,33360.9766,31493.1602,32067.6426,32067.6426,48354737975,-0.028423
2021-01-24,BTC-USD,32064.377,32944.0078,31106.6855,32289.3789,32289.3789,48643830599,0.006915
2021-01-25,BTC-USD,32285.7988,34802.7422,32087.7871,32366.3926,32366.3926,59897054838,0.002385
2021-01-26,BTC-USD,32358.6133,32794.5508,31030.2656,32569.8496,32569.8496,60255421470,0.006286
2021-01-27,BTC-USD,32564.0293,32564.0293,29367.1387,30432.5469,30432.5469,62576762015,-0.065622
2021-01-28,BTC-USD,30441.041,33858.3125,30023.207,33466.0977,33466.0977,76517157706,0.099681
2021-01-29,BTC-USD,34318.6719,38406.2617,32064.8145,34316.3867,34316.3867,117894572511,0.025407
2021-01-30,BTC-USD,34295.9336,34834.707,32940.1875,34269.5234,34269.5234,65141828798,-0.001366
2021-01-31,BTC-USD,34270.8789,34288.332,32270.1758,33114.3594,33114.3594,52754542671,-0.033708
2021-02-01,BTC-USD,33114.5781,34638.2148,32384.2285,33537.1758,33537.1758,61400400660,0.012768
2021-02-02,BTC-USD,33533.1992,35896.8828,33489.2188,35510.2891,35510.2891,63088585433,0.058834
2021-02-03,BTC-USD,35510.8203,37480.1875,35443.9844,37472.0898,37472.0898,61166818159,0.055246
2021-02-04,BTC-USD,37475.1055,38592.1758,36317.5,36926.0664,36926.0664,68838074392,-0.014571
2021-02-05,BTC-USD,36931.5469,38225.9062,36658.7617,38144.3086,38144.3086,58598066402,0.032991
2021-02-06,BTC-USD,38138.3867,40846.5469,38138.3867,39266.0117,39266.0117,71326033653,0.029407
2021-02-07,BTC-USD,39250.1914,39621.8359,37446.1523,38903.4414,38903.4414,65500641143,-0.009234
2021-02-08,BTC-USD,38886.8281,46203.9297,38076.3242,46196.4648,46196.4648,101467222687,0.187465
2021-02-09,BTC-USD,46184.9922,48003.7227,45166.9609,46481.1055,46481.1055,91809846886,0.006162
2021-02-10,BTC-USD,46469.7617,47145.5664,43881.1523,44918.1836,44918.1836,87301089896,-0.033625
2021-02-11,BTC-USD,44898.7109,48463.4688,44187.7617,47909.332,47909.332,81388911810,0.066591
2021-02-12,BTC-USD,47877.0352,48745.7344,46424.9766,47504.8516,47504.8516,76555041196,-0.008443
2021-02-13,BTC-USD,47491.2031,48047.7461,46392.2812,47105.5156,47105.5156,70250456155,-0.008406
2021-02-14,BTC-USD,47114.5078,49487.6406,47114.5078,48717.2891,48717.2891,71248675228,0.034216
2021-02-15,BTC-USD,48696.5352,48875.5703,46347.4766,47945.0586,47945.0586,77069903166,-0.015851
2021-02-16,BTC-USD,47944.457,50341.1016,47201.3047,49199.8711,49199.8711,77049582886,0.026172
2021-02-17,BTC-USD,49207.2773,52533.9141,49072.3789,52149.0078,52149.0078,80820545404,0.059942
2021-02-18,BTC-USD,52140.9727,52474.1055,51015.7656,51679.7969,51679.7969,52054723579,-0.008998
2021-02-19,BTC-USD,51675.9805,56113.6523,50937.2773,55888.1328,55888.1328,63495496918,0.081431
2021-02-20,BTC-USD,55887.3359,57505.2266,54626.5586,56099.5195,56099.5195,68145460026,0.003782
2021-02-21,BTC-USD,56068.5664,58330.5703,55672.6094,57539.9453,57539.9453,51897585191,0.025676
2021-02-22,BTC-USD,57532.7383,57533.3906,48967.5664,54207.3203,54207.3203,92052420332,-0.057918
2021-02-23,BTC-USD,54204.9297,54204.9297,45290.5898,48824.4258,48824.4258,106102492824,-0.099302
2021-02-24,BTC-USD,48835.0859,51290.1367,47213.5,49705.332,49705.332,63695521388,0.018042
2021-02-25,BTC-USD,49709.082,51948.9688,47093.8516,47093.8516,47093.8516,54506565949,-0.052539
