date,gold_close,gold_return,btc_close,btc_return,nvda_close,nvda_return
2021-01-04,1942.7,0.0,31971.9,0.0,13.25,0.0
2021-01-05,1949.3,0.003397,33992.4,0.063196,13.38,0.009811
2021-01-06,1906.6,-0.021905,36824.4,0.083313,13.12,-0.019432
2021-01-07,1911.6,0.002622,39371.0,0.069155,13.70,0.044207
2021-01-08,1835.4,-0.039862,40797.6,0.036235,13.80,0.007299
2021-01-11,1844.2,0.004795,35566.7,-0.128216,13.62,-0.013043
2021-01-12,1854.8,0.005748,33922.9,-0.046217,13.52,-0.007342
2021-01-13,1854.2,-0.000323,37316.4,0.100036,13.55,0.002219
2021-01-14,1851.4,-0.001510,39187.3,0.050136,13.60,0.003690
2021-01-15,1829.9,-0.011613,36825.4,-0.060272,13.32,-0.020588
2021-02-01,1863.9,0.018580,33537.2,-0.089292,13.75,0.032282
2021-03-01,1723.0,-0.075594,49631.2,0.479885,14.05,0.021818
2021-04-01,1728.4,0.003134,59095.8,0.190698,14.72,0.047687
2021-05-03,1791.8,0.036681,57200.3,-0.032075,15.22,0.033967
2021-06-01,1905.0,0.063177,36654.3,-0.359194,17.05,0.120237
2021-07-01,1776.8,-0.067297,33572.1,-0.084088,20.50,0.202346
2021-08-02,1812.6,0.020149,39974.5,0.190706,20.25,-0.012195
2021-09-01,1816.0,0.001876,48847.1,0.221956,22.85,0.128395
2021-10-01,1758.4,-0.031718,48199.9,-0.013249,20.75,-0.091904
2021-11-01,1795.8,0.021269,61004.4,0.265654,27.20,0.310843
2021-12-01,1784.3,-0.006404,57229.8,-0.061874,31.50,0.158088
2022-01-03,1800.1,0.008855,46458.1,-0.188218,30.12,-0.043810
2022-02-01,1801.5,0.000778,38743.2,-0.166062,24.90,-0.173307
2022-03-01,1943.8,0.079001,44354.6,0.144836,24.15,-0.030120
2022-04-01,1923.7,-0.010341,45897.6,0.034788,26.70,0.105590
2022-05-02,1863.6,-0.031242,38529.3,-0.160538,19.50,-0.269663
2022-06-01,1848.7,-0.007995,29799.1,-0.226586,18.65,-0.043590
2022-07-01,1801.5,-0.025531,19269.4,-0.353356,15.45,-0.171582
2022-08-01,1772.3,-0.016209,23212.7,0.204641,18.40,0.190939
2022-09-01,1691.5,-0.045591,20127.1,-0.132927,13.95,-0.241848
2022-10-03,1702.0,0.006208,19623.6,-0.025016,12.50,-0.103943
2022-11-01,1649.7,-0.030729,20485.1,0.043901,14.60,0.168000
2022-12-01,1815.2,0.100321,16967.1,-0.171735,17.10,0.171233
2023-01-03,1846.1,0.017023,16679.9,-0.016927,14.90,-0.128655
2023-02-01,1942.8,0.052381,23723.8,0.422300,21.10,0.416107
2023-03-01,1840.5,-0.052656,23628.8,-0.004004,23.80,0.127962
2023-04-03,1983.9,0.077914,27790.1,0.176111,27.95,0.174370
2023-05-01,1992.2,0.004184,28091.6,0.010849,28.80,0.030411
2023-06-01,1978.0,-0.007128,26819.2,-0.045294,40.20,0.395833
2023-07-03,1929.5,-0.024520,31156.4,0.161720,43.05,0.070896
2023-08-01,1944.0,0.007515,29704.4,-0.046604,46.75,0.085947
2023-09-01,1939.9,-0.002109,25800.7,-0.131418,48.90,0.046000
2023-10-02,1827.0,-0.058200,27505.7,0.066083,44.80,-0.083845
2023-11-01,1987.5,0.087849,35443.6,0.288591,42.10,-0.060268
2023-12-01,2071.0,0.042013,38688.8,0.091616,47.90,0.137767
2024-01-02,2063.4,-0.003670,44957.9,0.162039,49.80,0.039666
2024-02-01,2055.2,-0.003974,43075.8,-0.041864,63.40,0.273092
2024-03-01,2082.9,0.013478,62440.7,0.449554,82.40,0.299685
2024-04-01,2257.1,0.083633,69702.1,0.116293,91.30,0.107998
2024-05-01,2319.6,0.027690,58254.0,-0.164243,90.50,-0.008762
2024-06-03,2347.5,0.012028,68804.8,0.181117,121.30,0.340331
2024-07-01,2332.0,-0.006603,62820.6,-0.086974,128.60,0.060181
2024-08-01,2456.8,0.053516,64250.0,0.022754,120.50,-0.062986
2024-09-02,2524.3,0.027475,59150.0,-0.079377,129.80,0.077178
