date,symbol,open,high,low,close,adj_close,volume,daily_return
2021-01-04,NVDA,13.10,13.60,13.00,13.25,13.25,58400000,0.0
2021-01-05,NVDA,13.25,13.45,13.15,13.38,13.38,42100000,0.009811
2021-01-06,NVDA,13.30,13.50,13.05,13.12,13.12,56800000,-0.019432
2021-01-07,NVDA,13.35,13.78,13.22,13.70,13.70,68900000,0.044207
2021-01-08,NVDA,13.75,13.90,13.55,13.80,13.80,59300000,0.007299
2021-01-11,NVDA,13.70,13.85,13.48,13.62,13.62,48100000,-0.013043
2021-01-12,NVDA,13.65,13.79,13.45,13.52,13.52,41000000,-0.007342
2021-01-13,NVDA,13.55,13.70,13.42,13.55,13.55,36700000,0.002219
2021-01-14,NVDA,13.62,13.78,13.50,13.60,13.60,38200000,0.003690
2021-01-15,NVDA,13.55,13.68,13.25,13.32,13.32,49100000,-0.020588
2021-02-01,NVDA,13.45,13.80,13.30,13.75,13.75,51200000,0.032282
2021-03-01,NVDA,13.80,14.15,13.65,14.05,14.05,58000000,0.021818
2021-04-01,NVDA,14.25,14.80,14.10,14.72,14.72,62400000,0.047687
2021-05-03,NVDA,15.10,15.40,14.90,15.22,15.22,54800000,0.033967
2021-06-01,NVDA,16.50,17.20,16.40,17.05,17.05,79300000,0.120237
2021-07-01,NVDA,20.10,20.80,19.90,20.50,20.50,91200000,0.202346
2021-08-02,NVDA,19.80,20.40,19.65,20.25,20.25,67500000,-0.012195
2021-09-01,NVDA,22.40,22.95,22.20,22.85,22.85,74100000,0.128395
2021-10-01,NVDA,20.50,21.20,20.40,20.75,20.75,61800000,-0.091904
2021-11-01,NVDA,26.00,27.50,25.80,27.20,27.20,128500000,0.310843
2021-12-01,NVDA,31.20,32.40,30.80,31.50,31.50,114200000,0.158088
2022-01-03,NVDA,30.50,31.10,29.80,30.12,30.12,89200000,-0.043810
2022-02-01,NVDA,24.50,25.40,24.10,24.90,24.90,78400000,-0.173307
2022-03-01,NVDA,23.80,24.60,23.20,24.15,24.15,82300000,-0.030120
2022-04-01,NVDA,27.00,27.50,26.40,26.70,26.70,76900000,0.105590
2022-05-02,NVDA,19.20,19.80,18.90,19.50,19.50,94300000,-0.269663
2022-06-01,NVDA,18.50,19.10,18.20,18.65,18.65,85700000,-0.043590
2022-07-01,NVDA,15.20,15.80,14.90,15.45,15.45,71200000,-0.171582
2022-08-01,NVDA,18.20,18.90,17.90,18.40,18.40,68400000,0.190939
2022-09-01,NVDA,14.10,14.50,13.70,13.95,13.95,95100000,-0.241848
2022-10-03,NVDA,12.40,12.90,12.10,12.50,12.50,88700000,-0.103943
2022-11-01,NVDA,14.20,14.90,14.00,14.60,14.60,92400000,0.168000
2022-12-01,NVDA,16.80,17.40,16.50,17.10,17.10,81600000,0.171233
2023-01-03,NVDA,14.80,15.20,14.50,14.90,14.90,75400000,-0.128655
2023-02-01,NVDA,20.10,21.50,19.80,21.10,21.10,112300000,0.416107
2023-03-01,NVDA,23.50,24.20,23.10,23.80,23.80,98500000,0.127962
2023-04-03,NVDA,27.80,28.40,27.40,27.95,27.95,84600000,0.174370
2023-05-01,NVDA,28.20,29.10,27.90,28.80,28.80,96200000,0.030411
2023-06-01,NVDA,39.50,40.80,39.10,40.20,40.20,145000000,0.395833
2023-07-03,NVDA,42.50,43.40,42.10,43.05,43.05,105400000,0.070896
2023-08-01,NVDA,46.20,47.10,45.60,46.75,46.75,118900000,0.085947
2023-09-01,NVDA,49.10,49.80,48.20,48.90,48.90,126300000,0.046000
2023-10-02,NVDA,44.50,45.30,43.90,44.80,44.80,102500000,-0.083845
2023-11-01,NVDA,41.20,42.50,40.90,42.10,42.10,110400000,-0.060268
2023-12-01,NVDA,47.50,48.20,46.80,47.90,47.90,95800000,0.137767
2024-01-02,NVDA,49.20,50.40,48.80,49.80,49.80,115000000,0.039666
2024-02-01,NVDA,62.10,64.30,61.50,63.40,63.40,165000000,0.273092
2024-03-01,NVDA,80.50,83.20,79.80,82.40,82.40,192000000,0.299685
2024-04-01,NVDA,90.20,92.50,88.90,91.30,91.30,174000000,0.107998
2024-05-01,NVDA,87.50,91.20,86.40,90.50,90.50,188000000,-0.008762
2024-06-03,NVDA,115.00,122.50,114.20,121.30,121.30,245000000,0.340331
2024-07-01,NVDA,124.50,129.80,123.10,128.60,128.60,210000000,0.060181
2024-08-01,NVDA,118.20,122.40,116.50,120.50,120.50,195000000,-0.062986
2024-09-02,NVDA,126.40,131.20,125.80,129.80,129.80,225000000,0.077178
