Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,13.10,13.60,13.00,13.25,13.25,58400000
2021-01-05,13.25,13.45,13.15,13.38,13.38,42100000
2021-01-06,13.30,13.50,13.05,13.12,13.12,56800000
2021-01-07,13.35,13.78,13.22,13.70,13.70,68900000
2021-01-08,13.75,13.90,13.55,13.80,13.80,59300000
2021-01-11,13.70,13.85,13.48,13.62,13.62,48100000
2021-01-12,13.65,13.79,13.45,13.52,13.52,41000000
2021-01-13,13.55,13.70,13.42,13.55,13.55,36700000
2021-01-14,13.62,13.78,13.50,13.60,13.60,38200000
2021-01-15,13.55,13.68,13.25,13.32,13.32,49100000
2021-02-01,13.45,13.80,13.30,13.75,13.75,51200000
2021-03-01,13.80,14.15,13.65,14.05,14.05,58000000
2021-04-01,14.25,14.80,14.10,14.72,14.72,62400000
2021-05-03,15.10,15.40,14.90,15.22,15.22,54800000
2021-06-01,16.50,17.20,16.40,17.05,17.05,79300000
2021-07-01,20.10,20.80,19.90,20.50,20.50,91200000
2021-08-02,19.80,20.40,19.65,20.25,20.25,67500000
2021-09-01,22.40,22.95,22.20,22.85,22.85,74100000
2021-10-01,20.50,21.20,20.40,20.75,20.75,61800000
2021-11-01,26.00,27.50,25.80,27.20,27.20,128500000
2021-12-01,31.20,32.40,30.80,31.50,31.50,114200000
2022-01-03,30.50,31.10,29.80,30.12,30.12,89200000
2022-02-01,24.50,25.40,24.10,24.90,24.90,78400000
2022-03-01,23.80,24.60,23.20,24.15,24.15,82300000
2022-04-01,27.00,27.50,26.40,26.70,26.70,76900000
2022-05-02,19.20,19.80,18.90,19.50,19.50,94300000
2022-06-01,18.50,19.10,18.20,18.65,18.65,85700000
2022-07-01,15.20,15.80,14.90,15.45,15.45,71200000
2022-08-01,18.20,18.90,17.90,18.40,18.40,68400000
2022-09-01,14.10,14.50,13.70,13.95,13.95,95100000
2022-10-03,12.40,12.90,12.10,12.50,12.50,88700000
2022-11-01,14.20,14.90,14.00,14.60,14.60,92400000
2022-12-01,16.80,17.40,16.50,17.10,17.10,81600000
2023-01-03,14.80,15.20,14.50,14.90,14.90,75400000
2023-02-01,20.10,21.50,19.80,21.10,21.10,112300000
2023-03-01,23.50,24.20,23.10,23.80,23.80,98500000
2023-04-03,27.80,28.40,27.40,27.95,27.95,84600000
2023-05-01,28.20,29.10,27.90,28.80,28.80,96200000
2023-06-01,39.50,40.80,39.10,40.20,40.20,145000000
2023-07-03,42.50,43.40,42.10,43.05,43.05,105400000
2023-08-01,46.20,47.10,45.60,46.75,46.75,118900000
2023-09-01,49.10,49.80,48.20,48.90,48.90,126300000
2023-10-02,44.50,45.30,43.90,44.80,44.80,102500000
2023-11-01,41.20,42.50,40.90,42.10,42.10,110400000
2023-12-01,47.50,48.20,46.80,47.90,47.90,95800000
2024-01-02,49.20,50.40,48.80,49.80,49.80,115000000
2024-02-01,62.10,64.30,61.50,63.40,63.40,165000000
2024-03-01,80.50,83.20,79.80,82.40,82.40,192000000
2024-04-01,90.20,92.50,88.90,91.30,91.30,174000000
2024-05-01,87.50,91.20,86.40,90.50,90.50,188000000
2024-06-03,115.00,122.50,114.20,121.30,121.30,245000000
2024-07-01,124.50,129.80,123.10,128.60,128.60,210000000
2024-08-01,118.20,122.40,116.50,120.50,120.50,195000000
2024-09-02,126.40,131.20,125.80,129.80,129.80,225000000
